transformer_id,bus0,bus1,voltage_bus0,voltage_bus1,Max_Active_Power,Max_Apparent_Power
TR_ae86a0a4,ES00336,ES00337,220,400,732.3385611449866,743.480970263905
TR_565d8e08,ES00724,ES00725,132,220,34.60920828428184,39.20727833958243
TR_28414610,ES00158,ES00159,220,400,2553.162567715255,2556.7192948445104
TR_2087835e,ES00167,ES00168,132,220,70.36628293336935,70.36649693351052
TR_65fab876,ES00183,ES00184,220,400,24.182916917599957,24.33129180694076
TR_3ab3b8f1,ES00103,ES00104,220,400,84.29842264043873,85.34509468431402
TR_a5f948b9,ES01011,ES01012,220,400,19.298793628133023,39.61491753657739
TR_a1cd747b,ES00987,ES00988,220,400,39.6260233686154,41.44387714367404
TR_0727c58f,ES00187,ES00188,220,400,56.65494041074209,164.0518729435261
TR_9b83d397,ES00185,ES00186,220,400,99.44861794640035,102.2822953046721
TR_86452e13,ES00189,ES00190,220,400,81.57946385876163,91.93348663758519
TR_0f7c87f6,ES00732,ES00733,220,400,18.421665001795635,18.746777525750236
TR_9425d6c7,ES00646,ES00647,220,400,491.9360228341839,492.0952399640895
TR_2336bf3a,ES00983,ES00984,220,400,1.6796419727723693,4.857571108799827
TR_d8a27e68,ES00985,ES00986,220,400,29.961153558855308,30.08206416543195
TR_4329bc31,ES00180,ES00181,220,400,174.43310100337763,180.34979899639674
TR_11762966,ES00060,ES00061,220,400,8.8359557138268,9.117529725208106
TR_317465d6,ES00088,ES00089,220,400,123.35581372626687,130.25895815268152
TR_b42e8356,ES00054,ES00055,220,400,373.7999881266944,401.95014698306437
TR_dd3b02ef,ES00223,ES00224,220,400,136.91449365398643,137.72232886547764
TR_374f74ad,ES00499,ES00500,220,400,58.54228776206735,61.70794256135743
TR_07f999e0,ES00178,ES00179,220,400,293.6135996473175,306.5611643510463
TR_dd8f0a25,ES00773,ES00774,220,400,19.17303116823287,19.580610114807325
TR_2d6a60de,ES00501,ES00502,220,400,216.5589788840016,248.23544124003482
TR_24f95bfa,ES00040,ES00041,220,400,146.11593580561313,146.231045433646
TR_5c931ebf,ES00771,ES00772,220,400,37.12388389522721,37.25911084385145
TR_e25275d8,ES00049,ES00050,220,400,20.541980175839896,23.264572092531196
TR_a4e0ba25,ES00042,ES00043,220,400,164.80634743548748,166.92439228215963
TR_90fa9b51,ES00643,ES00644,220,400,103.3265097901678,252.50355755739102
TR_8a0345e0,ES00396,ES00397,220,400,413.45176655285434,423.35296083335714
TR_db0bb0db,ES01150,ES01151,220,400,194.88066453027056,407.50916465286673
TR_5e46f309,ES00225,ES00226,220,400,478.3099604406156,493.8854536116199
TR_18c54756,ES00032,ES00033,220,400,176.77533567915037,179.17981735238774
TR_09234ca6,ES00028,ES00029,220,400,34.15798264207085,50.03651629543487
TR_089a759d,ES00030,ES00031,220,400,114.51805011172004,114.52170701739102
TR_2eceb0ce,ES00020,ES00021,220,400,758.6710979711422,759.3253443517091
TR_05391fc2,ES00018,ES00019,220,400,399.1080771604356,403.8290179463301
TR_6f82474d,ES00601,ES00602,132,220,59.07181062212697,60.089598460953745
TR_19887143,ES00073,ES00074,220,400,209.24673384233176,224.29419294838445
TR_9925636e,ES00195,ES00196,220,400,307.7475712300576,355.2290035366275
TR_9238fc7c,ES00202,ES00203,220,400,71.69177349049448,78.25442935436725
TR_b47b078a,ES00634,ES00635,132,220,81.06783356031488,85.47246361321476
TR_d45a10b0,ES00636,ES00637,132,220,257.0131214431128,270.96035934358594
TR_71979234,ES01121,ES01122,132,220,159.85155007931996,167.91000478264502
TR_6b7707a8,ES00603,ES00604,132,220,10.292041360575276,11.500721900502368
TR_98b6cb57,ES00487,ES00488,132,220,258.94504431197254,258.9513075355111
TR_4eff5937,ES00488,ES00489,220,400,300.5030511909938,300.5087302903358
TR_3849e2ae,ES00920,ES00921,220,400,27.86776240674805,86.113967254494
TR_63348a57,ES00922,ES00923,220,400,41.6473179495503,45.35100528601511
TR_b592de8e,ES00692,ES00693,220,400,85.16385932515854,93.7060624263333
TR_3af63bd6,ES00684,ES00685,220,400,158.06167724854524,181.45603782229173
TR_a8526d91,ES00568,ES00569,132,220,44.76385357933669,48.51269933498414
TR_20f9f91a,ES00687,ES00688,220,400,219.11608675593328,221.02356603241202
TR_84534c7d,ES00145,ES00146,220,400,231.95394538929503,232.4250874163461
TR_53ce20b7,ES00571,ES00572,220,400,41.03595068369161,43.1962411202843
